ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
51,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,0.7671490282026342,1.7134124418949004,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,4
52,0,-0.9093286682807151,1.0211036572243013,-0.5109013763616733,-0.16310132760418175,0.7138302522076208,1.69334307756767,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,4
53,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,0.024986065562365205,1.4168318357258276,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
54,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,1.0449226515314947,1.2950219439063866,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4
55,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,1.6916278055355287,1.2897258616533678,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,4
56,0,-0.9093286682807151,1.3070168512943758,-0.5109013763616733,-0.16310132760418175,0.024986065562365205,1.203594839749003,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,4
57,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,0.024986065562365205,1.1046417239689084,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
58,1,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.16310132760418175,0.024986065562365205,1.0920983712643895,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,2.6747907414034846,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
60,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,2.1892236211529905,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
61,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,2.185042503584817,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,4
62,0,0.4690704492685181,1.145483973288684,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,2.1485274101561065,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,4
63,0,0.4690704492685181,0.9274145879810001,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.9548022961640894,0,0,0,0,0,0,0,0,0,0,0,1,7,2,0,1,0,4
64,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.6963714069469393,1.9021202148051093,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
65,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,4.578581531588115,1.7886725581220149,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
66,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.2603614161490064,1.6947367834237277,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
67,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.11621058306618573,2.7571433451778153,1.6228215612511518,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,4
68,0,0.4690704492685181,0.8757240670191787,-0.5109013763616733,-0.11621058306618573,0.024986065562365205,1.5846340207951715,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,4
